offer_type,attributes,accuracy,labels,rec_ins_dt
bogo,"['gender_F', 'email']",0.4462705436156764,[False  True],2020-05-02 08:41:53.095306
bogo,"['gender_F', 'mobile']",0.4399494310998736,[False  True],2020-05-02 08:41:53.325439
bogo,"['gender_O', 'reward']",0.4649178255372946,[False  True],2020-05-02 08:41:53.515945
bogo,"['gender_O', 'difficulty']",0.4756637168141593,[False  True],2020-05-02 08:41:53.696927
bogo,"['gender_O', 'duration']",0.566055625790139,[False  True],2020-05-02 08:41:53.916514
bogo,"['gender_O', 'web']",0.6814159292035398,[False  True],2020-05-02 08:41:54.190256
bogo,"['gender_O', 'social']",0.26548672566371684,[False  True],2020-05-02 08:41:54.384783
bogo,"['gender_O', 'email']",0.1586599241466498,[False  True],2020-05-02 08:41:54.578297
bogo,"['gender_O', 'mobile']",0.16213653603034134,[False  True],2020-05-02 08:41:54.800388
bogo,"['reward', 'difficulty']",0.4693426042983565,[False  True],2020-05-02 08:41:54.972846
bogo,"['reward', 'duration']",0.6652970922882427,[False  True],2020-05-02 08:41:55.195939
bogo,"['reward', 'web']",0.672882427307206,[False  True],2020-05-02 08:41:55.448611
bogo,"['reward', 'social']",0.3751580278128951,[False  True],2020-05-02 08:41:55.651156
bogo,"['reward', 'email']",0.4740834386852086,[False  True],2020-05-02 08:41:55.844172
bogo,"['reward', 'mobile']",0.4652338811630847,[False  True],2020-05-02 08:41:56.028161
bogo,"['difficulty', 'duration']",0.6675094816687737,[False  True],2020-05-02 08:41:56.224686
bogo,"['difficulty', 'web']",0.665929203539823,[False  True],2020-05-02 08:41:56.448040
bogo,"['difficulty', 'social']",0.4551201011378002,[False  True],2020-05-02 08:41:56.695282
bogo,"['difficulty', 'email']",0.459228824273072,[False  True],2020-05-02 08:41:56.871253
bogo,"['difficulty', 'mobile']",0.4642857142857143,[False  True],2020-05-02 08:41:57.057747
bogo,"['duration', 'web']",0.6716182048040455,[False  True],2020-05-02 08:41:57.252773
bogo,"['duration', 'social']",0.5654235145385588,[False  True],2020-05-02 08:41:57.445295
bogo,"['duration', 'email']",0.577117572692794,[False  True],2020-05-02 08:41:57.618765
bogo,"['duration', 'mobile']",0.5685840707964602,[False  True],2020-05-02 08:41:57.803262
bogo,"['web', 'social']",0.6656131479140329,[False  True],2020-05-02 08:41:57.980234
bogo,"['web', 'email']",0.6703539823008849,[False  True],2020-05-02 08:41:58.157204
bogo,"['web', 'mobile']",0.6810998735777497,[False  True],2020-05-02 08:41:58.336181
bogo,"['social', 'email']",0.25410872313527183,[False  True],2020-05-02 08:41:58.524180
bogo,"['social', 'mobile']",0.7370417193426043,[False  True],2020-05-02 08:41:58.708670
bogo,"['email', 'mobile']",0.14664981036662453,[ True],2020-05-02 08:41:58.863582
bogo,"['age', 'income', 'tenure_years']",0.4965233881163085,[False  True],2020-05-02 08:41:59.175911
bogo,"['age', 'income', 'gender_M']",0.4895701643489254,[False  True],2020-05-02 08:41:59.500274
bogo,"['age', 'income', 'gender_F']",0.4598609355246524,[False  True],2020-05-02 08:41:59.850708
bogo,"['age', 'income', 'gender_O']",0.468078381795196,[False  True],2020-05-02 08:42:00.193041
bogo,"['age', 'income', 'reward']",0.4627054361567636,[False  True],2020-05-02 08:42:00.477643
bogo,"['age', 'income', 'difficulty']",0.490834386852086,[False  True],2020-05-02 08:42:00.779079
bogo,"['age', 'income', 'duration']",0.5151706700379267,[False  True],2020-05-02 08:42:01.225921
bogo,"['age', 'income', 'web']",0.4715549936788875,[False  True],2020-05-02 08:42:01.562857
bogo,"['age', 'income', 'social']",0.4551201011378002,[False  True],2020-05-02 08:42:01.917820
bogo,"['age', 'income', 'email']",0.4393173198482933,[False  True],2020-05-02 08:42:02.242203
bogo,"['age', 'income', 'mobile']",0.45448798988622,[False  True],2020-05-02 08:42:02.491377
bogo,"['age', 'tenure_years', 'gender_M']",0.5875474083438685,[False  True],2020-05-02 08:42:02.796198
bogo,"['age', 'tenure_years', 'gender_F']",0.6166245259165614,[False  True],2020-05-02 08:42:03.150146
bogo,"['age', 'tenure_years', 'gender_O']",0.6210493046776233,[False  True],2020-05-02 08:42:03.526654
bogo,"['age', 'tenure_years', 'reward']",0.6371681415929203,[False  True],2020-05-02 08:42:03.957817
bogo,"['age', 'tenure_years', 'difficulty']",0.5749051833122629,[False  True],2020-05-02 08:42:04.421580
bogo,"['age', 'tenure_years', 'duration']",0.5404551201011378,[False  True],2020-05-02 08:42:04.785047
bogo,"['age', 'tenure_years', 'web']",0.6276864728192162,[False  True],2020-05-02 08:42:05.155030
bogo,"['age', 'tenure_years', 'social']",0.6090391908975981,[False  True],2020-05-02 08:42:05.570654
bogo,"['age', 'tenure_years', 'email']",0.6238938053097345,[False  True],2020-05-02 08:42:06.065988
bogo,"['age', 'tenure_years', 'mobile']",0.6305309734513275,[False  True],2020-05-02 08:42:06.426962
bogo,"['age', 'gender_M', 'gender_F']",0.5199115044247787,[False  True],2020-05-02 08:42:06.647549
bogo,"['age', 'gender_M', 'gender_O']",0.5363463969658661,[False  True],2020-05-02 08:42:06.868138
bogo,"['age', 'gender_M', 'reward']",0.6071428571428571,[False  True],2020-05-02 08:42:07.275247
bogo,"['age', 'gender_M', 'difficulty']",0.5711125158027813,[False  True],2020-05-02 08:42:07.568039
bogo,"['age', 'gender_M', 'duration']",0.5426675094816688,[False  True],2020-05-02 08:42:07.845281
bogo,"['age', 'gender_M', 'web']",0.5793299620733249,[False  True],2020-05-02 08:42:08.090431
bogo,"['age', 'gender_M', 'social']",0.5461441213653603,[False  True],2020-05-02 08:42:08.394875
bogo,"['age', 'gender_M', 'email']",0.5786978508217446,[False  True],2020-05-02 08:42:08.782933
bogo,"['age', 'gender_M', 'mobile']",0.5208596713021492,[False  True],2020-05-02 08:42:09.034608
bogo,"['age', 'gender_F', 'gender_O']",0.515802781289507,[False  True],2020-05-02 08:42:09.358521
